stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons
2317,2023-01-10,WAIT,0.1,0.0,0.5,0.0,99.4,99.4,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-10,WAIT,0.2,0.0,1.0,0.0,486.0,486.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-01-10,WAIT,0.2,0.0,1.0,0.0,115.0,115.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-10,WAIT,0.2,0.0,1.0,0.0,694.0,694.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-10,WAIT,0.1,0.0,0.5,0.0,41.7,41.7,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-01-11,WAIT,0.1,0.0,0.5,0.0,99.1,99.1,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-11,WAIT,0.2,0.0,1.0,0.0,484.5,484.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-11,WAIT,0.2,0.0,1.0,0.0,707.0,707.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-11,WAIT,0.2,0.0,1.0,0.0,41.4,41.4,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-01-12,WAIT,0.1,0.0,0.5,0.0,98.6,98.6,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-12,WAIT,0.2,0.0,1.0,0.0,486.5,486.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-12,WAIT,0.2,0.0,1.0,0.0,715.0,715.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-12,WAIT,0.2,0.0,1.0,0.0,41.7,41.7,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-01-13,WAIT,0.1,0.0,0.5,0.0,98.6,98.6,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-13,WAIT,0.2,0.0,1.0,0.0,500.0,500.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-01-13,AVOID,-0.1,0.0,-0.5,0.0,114.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-13,WAIT,0.2,0.0,1.0,0.0,694.0,694.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-13,WAIT,0.2,0.0,1.0,0.0,41.8,41.8,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-16,WAIT,0.2,0.0,1.0,0.0,505.0,505.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-16,WAIT,0.2,0.0,1.0,0.0,704.0,704.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-16,WAIT,0.14,0.0,0.7,0.0,41.75,41.75,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-01-17,WAIT,0.14,0.0,0.7,0.0,98.1,98.1,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-17,WAIT,0.2,0.0,1.0,0.0,503.0,503.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-17,WAIT,0.14,0.0,0.7,0.0,693.0,693.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-17,WAIT,0.2,0.0,1.0,0.0,42.0,42.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-01-30,AVOID,-0.1,0.0,-0.5,0.0,98.1,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-30,WAIT,0.2,0.0,1.0,0.0,543.0,543.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-01-30,WAIT,0.2,0.0,1.0,0.0,114.5,114.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-30,WAIT,0.2,0.0,1.0,0.0,739.0,739.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-30,WAIT,0.2,0.0,1.0,0.0,42.7,42.7,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2330,2023-01-31,WAIT,0.2,0.0,1.0,0.0,522.0,522.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-01-31,AVOID,-0.1,0.0,-0.5,0.0,112.5,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2454,2023-01-31,WAIT,0.1,0.0,0.5,0.0,718.0,718.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-01-31,WAIT,0.2,0.0,1.0,0.0,42.55,42.55,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-02-01,AVOID,-0.14,0.0,-0.7,0.0,100.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2330,2023-02-01,WAIT,0.2,0.0,1.0,0.0,530.0,530.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2454,2023-02-01,WAIT,0.1,0.0,0.5,0.0,724.0,724.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-02-01,WAIT,0.2,0.0,1.0,0.0,43.0,43.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-02-02,AVOID,-0.14,0.0,-0.7,0.0,100.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2330,2023-02-02,WAIT,0.2,0.0,1.0,0.0,540.0,540.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-02-02,AVOID,-0.2,0.0,-1.0,0.0,112.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2454,2023-02-02,WAIT,0.1,0.0,0.5,0.0,747.0,747.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-02-02,WAIT,0.2,0.0,1.0,0.0,44.05,44.05,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-02-03,AVOID,-0.14,0.0,-0.7,0.0,99.6,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2330,2023-02-03,WAIT,0.2,0.0,1.0,0.0,542.0,542.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2412,2023-02-03,AVOID,-0.2,0.0,-1.0,0.0,113.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2454,2023-02-03,WAIT,0.2,0.0,1.0,0.0,751.0,751.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-02-03,WAIT,0.2,0.0,1.0,0.0,43.3,43.3,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2317,2023-02-06,AVOID,-0.14,0.0,-0.7,0.0,101.5,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2412,2023-02-06,AVOID,-0.2,0.0,-1.0,0.0,112.5,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2317,2023-02-07,AVOID,-0.14,0.0,-0.7,0.0,100.5,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30)
2330,2023-02-07,WAIT,0.2,0.0,1.0,0.0,523.0,523.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
2882,2023-02-07,WAIT,0.1,0.0,0.5,0.0,42.8,42.8,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30)
