stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2317,2023-01-10,WAIT,0.1,0.0,0.5,0.0,99.4,99.4,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-1.3078,0.2012,4.1247,4.6278,9.1549,-1.3078
2330,2023-01-10,WAIT,0.2,0.0,1.0,0.0,486.0,486.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),3.4979,11.5226,6.5844,5.144,19.5473,-0.3086
2412,2023-01-10,WAIT,0.2,0.0,1.0,0.0,115.0,115.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-0.8696,-1.7391,-1.3043,9.5652,0.0,-2.6087
2454,2023-01-10,WAIT,0.2,0.0,1.0,0.0,694.0,694.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-0.1441,8.2133,4.1787,-4.1787,0.2882,-0.1441
2882,2023-01-10,WAIT,0.1,0.0,0.5,0.0,41.7,41.7,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),0.7194,3.8369,5.5156,2.3981,6.7146,-0.7194
2317,2023-01-11,WAIT,0.1,0.0,0.5,0.0,99.1,99.1,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-1.0091,2.4218,3.9354,4.44,8.9808,-1.0091
2330,2023-01-11,WAIT,0.2,0.0,1.0,0.0,484.5,484.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),12.0743,8.5655,6.7079,4.644,19.5046,0.0
2454,2023-01-11,WAIT,0.2,0.0,1.0,0.0,707.0,707.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),4.5262,3.3946,2.6874,-4.3847,-2.1216,-1.9802
2882,2023-01-11,WAIT,0.2,0.0,1.0,0.0,41.4,41.4,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),3.1401,3.0193,7.3671,3.0193,8.0918,0.0
2317,2023-01-12,WAIT,0.1,0.0,0.5,0.0,98.6,98.6,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),1.1156,1.927,3.9554,4.4625,9.0264,-0.5071
2330,2023-01-12,WAIT,0.2,0.0,1.0,0.0,486.5,486.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),7.297,7.5026,6.0637,2.3638,15.1079,0.0
2454,2023-01-12,WAIT,0.2,0.0,1.0,0.0,715.0,715.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),0.4196,0.2797,1.3986,-9.0909,-4.6154,-3.0769
2882,2023-01-12,WAIT,0.2,0.0,1.0,0.0,41.7,41.7,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),2.0384,2.6379,5.1559,2.1583,6.4748,0.0
2317,2023-01-13,WAIT,0.1,0.0,0.5,0.0,98.6,98.6,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),1.4199,1.927,3.4483,4.9696,9.5335,-0.5071
2330,2023-01-13,WAIT,0.2,0.0,1.0,0.0,500.0,500.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),6.0,8.0,1.4,-1.7,11.6,0.0
2412,2023-01-13,AVOID,-0.1,0.0,-0.5,0.0,114.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30),-1.3158,-1.3158,0.8772,11.4035,1.7544,-1.7544
2454,2023-01-13,WAIT,0.2,0.0,1.0,0.0,694.0,694.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),4.3228,7.2046,2.7378,-6.4841,-2.7378,-0.1441
2882,2023-01-13,WAIT,0.2,0.0,1.0,0.0,41.8,41.8,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),2.8708,2.512,3.7081,1.3158,5.7416,-0.1196
2330,2023-01-16,WAIT,0.2,0.0,1.0,0.0,505.0,505.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),6.9307,6.9307,2.5743,-2.2772,12.6733,-0.396
2454,2023-01-16,WAIT,0.2,0.0,1.0,0.0,704.0,704.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),6.108,6.392,5.8239,-5.9659,-5.5398,-1.5625
2882,2023-01-16,WAIT,0.14,0.0,0.7,0.0,41.75,41.75,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),5.509,2.0359,3.7126,1.1976,6.7066,0.0
2317,2023-01-17,WAIT,0.14,0.0,0.7,0.0,98.1,98.1,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),1.5291,3.4659,2.9562,6.524,13.6595,0.0
2330,2023-01-17,WAIT,0.2,0.0,1.0,0.0,503.0,503.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),7.7535,8.3499,1.5905,-0.1988,12.5249,0.0
2454,2023-01-17,WAIT,0.14,0.0,0.7,0.0,693.0,693.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),8.3694,6.7821,4.329,-4.0404,-5.4834,0.0
2882,2023-01-17,WAIT,0.2,0.0,1.0,0.0,42.0,42.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),3.0952,1.5476,3.4524,1.0714,7.9762,0.0
2317,2023-01-30,AVOID,-0.1,0.0,-0.5,0.0,98.1,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30),3.4659,2.9562,3.9755,8.053,12.6402,0.0
2330,2023-01-30,WAIT,0.2,0.0,1.0,0.0,543.0,543.0,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-3.1308,-0.3683,-3.8674,-7.7348,4.7882,-6.6298
2412,2023-01-30,WAIT,0.2,0.0,1.0,0.0,114.5,114.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-1.7467,-0.8734,0.4367,9.607,1.7467,-2.1834
